"As much as anyone else,I have called out the shortcomings in the initial response to #HurricaneMaria in #PuertoRico but.... (cont) 1/2",17
Nothing is more important than saving the Affordable Care Act from another cruel effort to take health care away from millions of people.,3
#TaxRelief 4 working families depends almost entirely on our plan with @IvankaTrump @SenMikeLee to increase… https://t.co/CMt23CCVcW,17
RT @lcppresident: A great new program for skills in high demand https://t.co/Mux0NwR43Y,9
Evidently the GOP believe the single most important issue facing our nation is to let employers deny women access to birth control coverage.,2
"Happy birthday to my good friend, @SteveScalise. Glad to have you back in the People's House. https://t.co/obpoghp6U1",18
My thoughts and prayers are with the families and victims of the Las Vegas shooting,20
"RT @FoxBusiness: .@RepDianeBlack: ""This is the most conservative budget in over 20 years... We're going to be passing this budget on the fl…",22
What a joy! Ran into a newborn @bhset in Beaumont during #Harvey they had to evacuate 8 premature babies https://t.co/xVq0d3FO0I,20
"RT @MeetThePress: .@JimWebbUSA: ""I'm comfortable with my vote. My vote is private to me...I did not endorse Hillary Clinton."" #MTP",6
"RT @realDonaldTrump: Our great team at @FEMA is prepared for #HurricaneNate. Everyone in LA, MS, AL, and FL please listen to your local aut…",19
"RT @SenatorDurbin: Illinois would be robbed of $1.4 billion, forcing benefits to be slashed &amp; millions of Illinoisans to lose their health…",9
Below are a few of my thoughts on this principled post by @SenMikeLee - https://t.co/wdeveKRdxh https://t.co/wnSrA9fqlo,15
"Logic? I want to give parents the power to save innocent life, not the power to take innocent life. Not just about… https://t.co/XZC7url7ir",12
"This video from my local bookstore @scatteredbooks in Chappaqua put a smile on my face! Love the soundtrack, too. https://t.co/AjHMc82Ow5",3
"Republicans say, ""We don't want to hurt Medicare."" Then why does their budget cut it by $473 billion? https://t.co/0fcwwtTMaK",1
The #TaxReform train is on the tracks &amp; it's moving so that you wake up on New Year's Day 2018 with a new tax code. https://t.co/Beub0GYZR6,18
RT @bidenfoundation: The Bidens caught up with @BarackObama and Prince Harry before cheering on Team USA today at @InvictusToronto. https:/…,7
Interview with President  on my new TBN show! https://t.co/v8CZYMc7D1,16
Seeing some of the flooding damage from #Harvey in Port Arthur https://t.co/mHiKD7ePTO,20
"It's ok, @FoxNews! We can agree that @WellsFargo CEO should be fired. This isn't about politics. It's about protect… https://t.co/5WwKiL46kX",2
Incentives for companies like @Equifax are out of whack. Consumers should control their own data. Execs should face consequences for neglect,2
Of course now is the time to talk about gun safety. https://t.co/uYkiUwFngr,5
.@WheelerMission is working every day to extend a hand to IN's homeless. Volunteer your time this holiday season:… https://t.co/usS9H321Q8,21
"Today's Title IX decision is shameful, but the law is still the law. Colleges &amp; universities must honor obligations to students &amp; survivors.",7
"RT @jackhunter74: After the latest Obamacare repeal failed, Trump says let’s try @RandPaul’s free market idea instead | Rare https://t.co/g…",24
Talking #harvey recovery with @GovAbbott &amp; @georgepbush before we tour damage in Port Arthur https://t.co/CHHS8A2aJI,20
We all know John is a warrior and he will fight this with same valor that has defined every aspect of his life.,15
"RT @DrBiden: On this heartbreaking day, our love to families who lost loved ones &amp; gratitude to first responders in #LasVegas.",7
RT @RDHOnAMission: Thank you @asteinbock for discussing the state of KY oral health with the office of @RandPaul Smile4Health KYOralHealth…,24
RT @RepAndyHarrisMD: Celebrated #manufacturingday yesterday with @SpeakerRyan at Dixon Valve &amp; Coupling - a local MD biz that's grown into…,18
Looking forward to joining @mariabartiromo tomorrow on @MorningsMaria at 8am. Hope that you can tune in!,15
"#GrahamCassidy doesn't amend ACA insurance regs on pre-existing condition, gives states flexibility on how to provi… https://t.co/rDN4Uu7yFF",12
