Senators,TwitterHandles
Sanders,SenSanders
Warren,SenWarren
Clinton,HillaryClinton
O'Malley,GovernorOMalley
Cuomo,NYGovCuomo
Webb,JimWebbUSA
Biden,JoeBiden
Christie,govchristie
Bush,SenatorBush
Snyder,onetoughnerd
Kasich,JohnKasich
Santorum,ricksantorum
Romney,MittRomney
Jindal,BobbyJindal
Fiorina,carlyfiorina
Huckabee,GovMikeHuckabee
Rubio,marcorubio
Ryan,SpeakerRyan
Perry,SecretaryPerry
Carson,SecretaryCarson
Pence,govpencein
Walker,RepMarkWalker
Cruz,tedcruz
Paul,RandPaul
